Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward,Correct
15985,B4_LC,PC,GW,1,1,1.0,1.0,1
15986,B4_LC,PC,GW,1,1,1.0,1.0,1
15987,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15988,B4_LC,PI,NW,1,0,0.0,1.0,1
15989,B4_LC,PC,GW,1,1,1.0,1.0,1
15990,B4_LC,PI,NW,1,0,1.0,0.0,0
15991,B4_LC,PC,GW,1,1,1.0,1.0,1
15992,B4_LC,PI,NW,1,0,0.0,1.0,1
15993,B4_LC,PI,GAL,-1,1,0.0,-1.0,0
15994,B4_LC,PC,GW,1,1,1.0,1.0,1
15995,B4_LC,PC,GW,1,1,0.0,0.0,0
15996,B4_LC,PI,NW,1,0,1.0,0.0,0
15997,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15998,B4_LC,PI,NW,1,0,1.0,0.0,0
15999,B4_LC,PI,NW,1,0,1.0,0.0,0
16000,B4_LC,PC,GW,1,1,1.0,1.0,1
16001,B4_LC,PI,GAL,-1,1,1.0,0.0,1
16002,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16003,B4_LC,PI,NW,1,0,0.0,1.0,1
16004,B4_LC,PI,NW,1,0,0.0,1.0,1
16005,B4_LC,PI,NW,1,0,1.0,0.0,0
16006,B4_LC,PC,GW,1,1,1.0,1.0,1
16007,B4_LC,PC,GW,1,1,1.0,1.0,1
16008,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16009,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
16010,B4_LC,PC,GW,1,1,1.0,1.0,1
16011,B4_LC,PC,GW,1,1,1.0,1.0,1
16012,B4_LC,PC,GW,1,1,1.0,1.0,1
16013,B4_LC,PI,NW,1,0,1.0,0.0,0
16014,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16015,B4_LC,PC,GW,1,1,1.0,1.0,1
16016,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16017,B4_LC,PI,GAL,-1,1,1.0,0.0,1
16018,B4_LC,PC,GW,1,1,1.0,1.0,1
16019,B4_LC,PI,GAL,-1,1,1.0,0.0,1
16020,B4_LC,PC,GW,1,1,1.0,1.0,1
16021,B4_LC,PC,GW,1,1,1.0,1.0,1
16022,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
16023,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16024,B4_LC,PI,NW,1,0,0.0,1.0,1
16025,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16026,B4_LC,PC,GW,1,1,0.0,0.0,0
16027,B4_LC,PI,GAL,-1,1,1.0,0.0,1
16028,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16029,B4_LC,PC,GW,1,1,1.0,1.0,1
16030,B4_LC,PC,GW,1,1,1.0,1.0,1
16031,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16032,B4_LC,PC,GW,1,1,1.0,1.0,1
16033,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16034,B4_LC,PI,GAL,-1,1,0.0,-1.0,0
16035,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16036,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16037,B4_LC,PC,GW,1,1,1.0,1.0,1
16038,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16039,B4_LC,PC,GW,1,1,1.0,1.0,1
16040,B4_LC,PC,GW,1,1,1.0,1.0,1
16041,B4_LC,PC,NAL,-1,0,0.0,0.0,1
16042,B4_LC,PI,NW,1,0,1.0,0.0,0
16043,B4_LC,PI,GAL,-1,1,1.0,0.0,1
16044,B4_LC,PC,NAL,-1,0,0.0,0.0,1
